Column,Set,Benchmark,Result
Cortex-A53,"Baseline (r31252)",asmjs-ubench-life,49940
Cortex-A53,"Baseline (r31252)",asmjs-ubench-memops,86642
Cortex-A53,"Baseline (r31252)",asmjs-ubench-primes,37464
Cortex-A53,"Baseline (r31252)",asmjs-ubench-skinning,172773
Cortex-A53,"Baseline (r31252)",asmjs-ubench-copy,32523
Cortex-A53,"Baseline (r31252)",asmjs-ubench-corrections,33824
Cortex-A53,"Baseline (r31252)",asmjs-ubench-fannkuch,32070
Cortex-A53,"Baseline (r31252)",asmjs-ubench-fasta,86909
Cortex-A53,"Baseline (r31252)",asmjs-ubench-life,49971
Cortex-A53,"Baseline (r31252)",asmjs-ubench-memops,86248
Cortex-A53,"Baseline (r31252)",asmjs-ubench-primes,37463
Cortex-A53,"Baseline (r31252)",asmjs-ubench-skinning,172208
Cortex-A53,"Baseline (r31252)",asmjs-ubench-copy,32403
Cortex-A53,"Baseline (r31252)",asmjs-ubench-corrections,33826
Cortex-A53,"Baseline (r31252)",asmjs-ubench-fannkuch,32068
Cortex-A53,"Baseline (r31252)",asmjs-ubench-fasta,86901
Cortex-A53,"Baseline (r31252)",asmjs-ubench-life,49924
Cortex-A53,"Baseline (r31252)",asmjs-ubench-memops,87116
Cortex-A53,"Baseline (r31252)",asmjs-ubench-primes,37465
Cortex-A53,"Baseline (r31252)",asmjs-ubench-skinning,172763
Cortex-A53,"Baseline (r31252)",asmjs-ubench-copy,32403
Cortex-A53,"Baseline (r31252)",asmjs-ubench-corrections,33824
Cortex-A53,"Baseline (r31252)",asmjs-ubench-fannkuch,32072
Cortex-A53,"Baseline (r31252)",asmjs-ubench-fasta,87058
Cortex-A53,"Baseline (r31252)",asmjs-ubench-life,49943
Cortex-A53,"Baseline (r31252)",asmjs-ubench-memops,87218
Cortex-A53,"Baseline (r31252)",asmjs-ubench-primes,37462
Cortex-A53,"Baseline (r31252)",asmjs-ubench-skinning,172575
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-bigfib,4660
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-container,28239
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-dry,6021
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-float-mm,9845
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-gcc-loops,47086
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-n-body,12731
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-quicksort,2496
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-towers,3732
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-bigfib,4663
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-container,28302
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-dry,6022
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-float-mm,9845
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-gcc-loops,47150
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-n-body,12730
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-quicksort,2494
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-towers,3731
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-bigfib,4649
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-container,28257
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-dry,6022
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-float-mm,9844
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-gcc-loops,47190
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-n-body,12730
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-quicksort,2673
